shortname: benhoyt_goawk-BuiltinGsubAmpersand
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ZstdMemoryConsumption,0.000426489,1%,0.005359871,1%,+1156.74%,p=0.008 n=5,0.002256566,1%,+429.10%,p=0.008 n=5
geomean,0.00042648899999999995,,0.005359870999999999,,+1156.74%,,0.0022565659999999993,,+429.10%,

shortname: shopify_sarama-_getMetricNameForTopic
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
_getMetricNameForTopic,8.990000000000002e-08,1%,2.715e-07,0%,+202.00%,p=0.008 n=5,2.0750000000000003e-07,1%,+130.81%,p=0.008 n=5
geomean,8.989999999999994e-08,,2.7149999999999986e-07,,+202.00%,,2.0750000000000005e-07,,+130.81%,

shortname: thriftrw_gen-RoundTrip%2FContainersOfContainers%2FDecode
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RoundTrip,4.291e-05,1%,0.000212391,0%,+394.97%,p=0.008 n=5,0.000163334,1%,+280.64%,p=0.008 n=5
geomean,4.2909999999999974e-05,,0.000212391,,+394.97%,,0.00016333399999999992,,+280.64%,

shortname: thriftrw_gen-RoundTrip%2FContainersOfContainers%2FEncode
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RoundTrip,1.8298e-05,3%,0.00011848900000000001,2%,+547.55%,p=0.008 n=5,8.6106e-05,3%,+370.58%,p=0.008 n=5
geomean,1.8298000000000014e-05,,0.0001184890000000001,,+547.55%,,8.610600000000005e-05,,+370.58%,

shortname: thriftrw_gen-RoundTrip%2FPrimitiveOptionalStruct%2FStreaming_Decode
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RoundTrip,8.347000000000001e-07,1%,6.309e-06,0%,+655.84%,p=0.008 n=5,5.146e-06,1%,+516.51%,p=0.008 n=5
geomean,8.346999999999996e-07,,6.3089999999999975e-06,,+655.84%,,5.146000000000001e-06,,+516.51%,

shortname: uber_zap-JSONLogMarshalerFunc
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
JSONLogMarshalerFunc,4.2910000000000005e-07,1%,1.534e-06,3%,+257.49%,p=0.008 n=5,1.235e-06,1%,+187.81%,p=0.008 n=5
geomean,4.2910000000000037e-07,,1.5339999999999996e-06,,+257.49%,,1.2349999999999992e-06,,+187.81%,

shortname: uuid-New
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
New,9.115e-08,0%,9.288e-07,0%,+918.98%,p=0.008 n=5,8.163e-07,1%,+795.56%,p=0.008 n=5
geomean,9.115000000000011e-08,,9.287999999999995e-07,,+918.98%,,8.163000000000006e-07,,+795.56%,

shortname: uuid-UUID_MarshalJSON
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
UUID_MarshalJSON,2.819e-07,0%,1.67e-06,1%,+492.41%,p=0.008 n=5,1.333e-06,1%,+372.86%,p=0.008 n=5
geomean,2.8189999999999984e-07,,1.6699999999999993e-06,,+492.41%,,1.3329999999999991e-06,,+372.86%,

shortname: uuid-UUID_UnmarshalJSON
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
UUID_UnmarshalJSON,7.672e-07,3%,3.413e-06,1%,+344.86%,p=0.008 n=5,2.5240000000000003e-06,5%,+228.99%,p=0.008 n=5
geomean,7.671999999999994e-07,,3.4129999999999998e-06,,+344.86%,,2.523999999999999e-06,,+228.99%,

shortname: workiva_augmentedtree-AddItems
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
AddItems,0.000187085,0%,0.000278791,0%,+49.02%,p=0.008 n=5,0.00020665,1%,+10.46%,p=0.008 n=5
geomean,0.00018708499999999984,,0.0002787909999999998,,+49.02%,,0.0002066499999999999,,+10.46%,

shortname: workiva_avl-ImmutableInsert
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ImmutableInsert,1.936e-06,1%,1.3410000000000002e-06,3%,-30.73%,p=0.008 n=5,1.249e-06,3%,-35.49%,p=0.008 n=5
geomean,1.935999999999999e-06,,1.3410000000000006e-06,,-30.73%,,1.2490000000000009e-06,,-35.49%,

shortname: workiva_bitarray-CompressedIntersects
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CompressedIntersects,5.078e-08,0%,4.139e-07,1%,+715.08%,p=0.008 n=5,3.839e-07,1%,+656.01%,p=0.008 n=5
geomean,5.077999999999996e-08,,4.139000000000003e-07,,+715.08%,,3.8389999999999983e-07,,+656.01%,

shortname: workiva_hilbert-BulkUpdatePoints
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BulkUpdatePoints,0.000274972,1%,0.001000328,0%,+263.79%,p=0.008 n=5,0.000863516,2%,+214.04%,p=0.008 n=5
geomean,0.00027497200000000017,,0.0010003279999999995,,+263.79%,,0.0008635160000000002,,+214.04%,

shortname: workiva_queue-PriorityQueue
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
PriorityQueue,5.572999999999999e-07,10%,1.9310000000000002e-06,20%,+246.49%,p=0.008 n=5,1.7300000000000002e-06,31%,+210.43%,p=0.008 n=5
geomean,5.573000000000002e-07,,1.931e-06,,+246.49%,,1.7299999999999991e-06,,+210.43%,

shortname: workiva_rangetree-Apply
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
